PortID;Portname;ScaleType;ScaleApprovalDate
1;TBA;;
2;Averøy;Precia Molen I 400-ABS, 1F791351;02.10.2013
3;Balsfjord;Toledo;29.09.2014
4;Bayonne, France;;
5;Bergen;;
6;Bergneset;Toledo  8142;30.04.2013
7;Bjugn;Jesma AS - VGE/EE-2500;
8;Bodø;Avery Berkel L116/Molen;25.11.2010
9;Bordeaux, France;Weller;01.07.2011
10;Buvika;11795, Mettler Toledo - snr 518261-5DH;31.10.2016
11;Crude Passion;;
12;Drammen;;
13;Drogheda, Ireland;;
14;Egersund;Silo, Sartorius, 1700 kg;17.09.2012
15;Engene - Dynea;;
16;Etne;;
17;Fagerstrand;;
18;Fiskå;;
19;Florø;;
20;Florø - Ewos;Mettler Toledo;29.01.2015
21;Florø - FKA;Toledo;19.04.2016
22;Forus;;
23;Fredrikstad;;
24;Gdynia, Poland;;
25;Greaaker;;
26;Halden;Landgraff & Flintlab, 80;21.05.2012
27;Halsa;Phillips;12.11.2013
28;Helsingborg;Flintab;17.02.2011
29;Hillevåg;Chronos;08.05.2013
30;Holmestrand;;
31;Hull, UK;;
32;Kaliningrad;;
33;Kalundborg;Danweight;
34;Kambo - Dynea;;
35;Kambo - FKA;Mettler Toledo;10.06.2014
36;Karmøy;Jesma VGE/EE 1500;24.06.2015
37;"Kaskinen, Finland";;
38;Kirkenes;;
39;Klaipeda;Sys Tec GmbH IT 3000;12.05.2012
40;Kristiansand;;
41;Kristiansand - Fiskå;;
42;Kristiansand - FKRA;;
43;Kristiansund N;;
44;Kvaleberget;Chronos;09.12.2010
45;La Palice, France;;
46;Lager Vestkorn AS,Tau;;
47;Larvik;GSE, 5000 kg;05.06.2013
48;les Sables d'Olonne;;
49;Lidköping;;
50;Liepaja;LBT 51;15.05.2014
51;Mandal;;
52;Mekjarvik;;
53;Melsomvik;;
54;Moss;;
55;Muuga;;
56;Myre;Systec, 1500, De-06-MI006-PTB024;12.11.2015
57;Mäntyluoto;;
58;Nakskov;;
59;Namsos;;
60;Namsos;;
61;"Narvik";;
62;Orkanger;Flintab;11.08.2009
63;Oslo Felleslager;;
64;Oslo S;"Toledo 8142";29.02.2016
65;Oslo V;Jesbelt;24.02.2016
66;Oulu, Finland;Vishay VT-200;
67;Peterhead;;
68;Pori-Mäntyluoto, Finland;Scalex 1700;
69;Rauma, Finland;Raute WB 940;
70;Regensburg;Chromesomatik DK 800;
71;Riga;DM-200;15.11.2011
72;Rotterdam;;
73;Rouen (Socomac terminal);Avery Weiller;29.04.2011
74;Sandefjord;;
75;Sarpsborg;Landgraff;07.06.2012
76;Siriskjeret;;
77;Skagen;Scheck;06.06.2008
78;"Skattkarr";;
79;Skien;Mittler Toledo;24.02.2016
80;Slemmestad;;
81;Stavanger Havnesilo;Nobel;04.02.2014
82;Steinkjer;Flintab 8306/8366;12.08.2015
83;Stokmarknes;Chronos;03.04.2013
84;Szczecin;;
85;Sørkjosen;;
86;Tallinn, Estonia;Scalex 1700/1001;16.04.2013
87;Tau;Systec IT 8000;29.07.2014
88;Tilbury, Essex, UK;N/A;
89;Tonnay Charente, France;;
90;Tromsø;;
91;Trondheim;;
92;Trondheim Kornsilo;HBM / MVD 2630 A;13.01.2011
93;Tyssebotten;;
94;Uddevalla;;
95;Vaksdal;Siemens Siwarex;19.08.2015
96;Vaksdal - N.M. AS;Siemens Siwarex;19.08.2015
97;Vestnes;Flintab;27.04.2016
98;Vierow;;
99;Vyborg, Russia;;
100;Ystad;Flinttab 1131-10206;05.04.2012
101;Ørnes;;
102;Fugleskjerskaia;;
103;Neustadt;;
104;Ipswich, UK;;
105;Harwich, UK;;
106;Atløy;;
107;Loviisa, Finland;;
108;Garpeskjærskaien, Haugesund;;
109;Ventspils;Disomat Opus;
110;Verdal;;
111;Pärnu, Estonia;Scalex 1700/1001;10.08.2012
112;Aarhus;;
113;Mo i Rana;;
114;Kunda;Scalex 1700/1000P;24.11.2012
115;Høyanger;;
116;Amsterdam;WT-4;
117;Blaye;;
118;Aalesund;;
119;Gdansk;;
120;Uusikaupunki, Finland;;
121;Djurön, Norrköping;Flintab;11.06.2013
122;Antwerp;;
123;Lübeck;Datapond 85;
124;Molde;;
125;Liverpool;;
126;Stange;;
127;Key  Bora;;
128;Tananger;;
129;Lier;;
130;Odense;Schenck;01.07.2014
131;Bekkeri, Estonia;EL. Autokaal Scalex 1700/1001;18.03.2014
132;Nyköping;;
133;Brake, Germany;;
134;Köping, Sweden;;
135;Norsildmel  - Karmøy;Fintlab;17.09.2014
136;Great Yarmouth, UK;;
137;Langhus;;
138;Herøya;;
139;Sluiskil;;
140;Fredericia;;
141;Tofte;;
142;Gardermoen;;
143;Kalmar;;
144;Vaasa, Finland;Pivitex Scalex 1700;10.04.2013
145;Klintehamn, Sweden;;
146;Stordbase;;
147;Holmsund, Sweden;;
148;Västerås, Sweden;;
149;Karmøy Fiskerihavn;59204 Loadtronic;06.11.2014
150;Åhus, Sweden;;
151;Ørje;;
152;Stavanger;N/A;
153;Kolbotn;N/A;
154;Oslo;N/A;
155;Esbjerg, Denmark;;
156;Sandvika;N/A;
157;Naantali, Finland;Lahti Precision WA-903/2;01.04.2016
158;Turku, Finland;;
159;Horten;;
160;Ørnes;;
161;Gunhildvagen;;
162;Alnabru;;
163;Karmøy Bulk Terminal;;
